0|1|2|3
Fund Name|Category|Inception Date|July 2021 ( Rupees in '000 )
ABL Asset Management Company Limited|||
ABL Cash Fund|Money Market|July 31, 2010|27,485,719
ABL Financial Planning Fund (Active Plan)|Fund of Funds|December 31, 2015|151,719
ABL Financial Planning Fund (Conservative Plan)|Fund of Funds|December 31, 2015|160,820
ABL Financial Planning Fund (Strategic Allocation Plan)|Fund of Funds|December 30, 2016|266,976
ABL Government Securities Fund|Income|November 29, 2011|1,002,837
ABL Income Fund|Income|September 19, 2008|8,751,171
ABL Islamic Asset Allocation Fund|Shariah Compliant Asset Allocation|May 31, 2018|3,100,877
ABL Islamic Cash Fund|Shariah Compliant Money Market|February 13, 2020|8,930,359
ABL Islamic Financial Planning Fund (Active Allocation Plan)|Shariah Compliant Fund of Funds|December 22, 2015|392,459
ABL Islamic Financial Planning Fund (Aggressive Allocation Plan)|Shariah Compliant Fund of Funds|December 22, 2015|8,007
ABL Islamic Financial Planning Fund (Capital Preservation Plan I)|Shariah Compliant Fund of Funds - CPPI|March 29, 2019|1,457,907
ABL Islamic Financial Planning Fund (Conservative Allocation Plan)|Shariah Compliant Fund of Funds|December 22, 2015|60,378
ABL Islamic Financial Planning Fund (Strategic Allocation Plan III)|Shariah Compliant Fund of Funds|March 03, 2017|28,784
ABL Islamic Financial Planning Fund (Strategic Allocation Plan)|Shariah Compliant Fund of Funds|March 31, 2016|175,656
ABL Islamic Income Fund (Formerly: ABL Islamic Cash Fund)|Shariah Compliant Income|July 31, 2010|3,748,742
ABL Islamic Stock Fund|Shariah Compliant Equity|June 11, 2013|3,043,255
ABL Special Saving Fund (ABL Special Saving Plan I)|Capital Protected|September 19, 2019|581,745
ABL Special Saving Fund (ABL Special Saving Plan II)|Capital Protected|September 20, 2019|664,017
ABL Special Saving Fund (ABL Special Saving Plan III)|Capital Protected|October 11, 2019|274,899
ABL Special Saving Fund (ABL Special Saving Plan IV)|Capital Protected|December 06, 2019|168,520
ABL Special Saving Fund (ABL Special Saving Plan V)|Capital Protected|February 26, 2021|3,039,280
ABL Stock Fund|Equity|June 28, 2009|6,116,288
Allied Finergy Fund|Asset Allocation|November 23, 2018|684,675
Sub Total|70,295,090||
AKD Investment Management Limited|||
AKD Aggressive Income Fund (Formerly: AKD Income Fund)|Aggressive Fixed Income|March 22, 2007|807,938
AKD Cash Fund|Money Market|January 20, 2012|476,233
AKD Index Tracker Fund|Index Tracker|October 11, 2005|474,657
AKD Islamic Income Fund|Shariah Compliant Income|February 20, 2018|760,546
AKD Islamic Stock Fund|Shariah Compliant Equity|February 20, 2018|425,537
AKD Opportunity Fund|Equity|March 31, 2006|3,504,322
Golden Arrow Stock Fund (Formerly: Golden Arrow Selected Stocks Fund)|Equity|May 09, 1983|2,412,238
Sub Total|8,861,471||
AL Habib Asset Management Limited|||
First Habib Asset Allocation Fund|Asset Allocation|November 08, 2017|107,763
First Habib Cash Fund|Money Market|March 10, 2011|18,518,571
First Habib Income Fund|Income|May 29, 2007|1,335,510
First Habib Islamic Income Fund|Shariah Compliant Income|January 23, 2017|13,737,259
First Habib Islamic Stock Fund|Shariah Compliant Equity|November 09, 2012|288,252
First Habib Stock Fund|Equity|October 08, 2009|225,419
Sub Total|34,212,775||
Al Meezan Investment Management Limited|||
Al Meezan Mutual Fund|Shariah Compliant Equity|July 13, 1995|4,303,021
KSE Meezan Index Fund|Shariah Compliant Index Tracker|May 28, 2012|2,920,266
Meezan Asset Allocation Fund|Shariah Compliant Asset Allocation|April 18, 2016|1,662,358
Meezan Balanced Fund|Shariah Compliant Balanced Fund|December 20, 2004|4,750,517
Meezan Cash Fund|Shariah Compliant Money Market|June 15, 2009|13,714,625
Meezan Daily Income Fund (MDIP I)|Shariah Compliant Income|September 13, 2021|Not Published
Meezan Energy Fund|Shariah Compliant Equity|November 30, 2016|552,065
Meezan Financial Planning Fund of Funds (Aggressive)|Shariah Compliant Fund of Funds|April 12, 2013|338,339
Meezan Financial Planning Fund of Funds (Conservative)|Shariah Compliant Fund of Funds|April 12, 2013|231,143
Meezan Financial Planning Fund of Funds (MAAP I)|Shariah Compliant Fund of Funds|July 09, 2015|156,708
Meezan Financial Planning Fund of Funds (Moderate)|Shariah Compliant Fund of Funds|April 12, 2013|144,354
Meezan Gold Fund|Shariah Compliant Commodities|August 13, 2015|499,466
Meezan Islamic Fund|Shariah Compliant Equity|August 08, 2003|33,847,318
Meezan Islamic Income Fund|Shariah Compliant Income|January 15, 2007|29,155,588
Meezan Rozana Amdani Fund|Shariah Compliant Money Market|December 28, 2018|62,389,018
Meezan Sovereign Fund|Shariah Compliant Income|February 10, 2010|9,289,732
Meezan Strategic Allocation Fund (Meezan Capital Preservation Plan III)|Shariah Compliant Fund of Funds - CPPI|December 19, 2017|263,727
Meezan Strategic Allocation Fund (MSAP I)|Shariah Compliant Fund of Funds|October 19, 2016|668,346
Meezan Strategic Allocation Fund (MSAP II)|Shariah Compliant Fund of Funds|December 22, 2016|446,085
Meezan Strategic Allocation Fund (MSAP III)|Shariah Compliant Fund of Funds|February 20, 2017|502,746
Meezan Strategic Allocation Fund (MSAP IV)|Shariah Compliant Fund of Funds|April 24, 2017|187,864
Meezan Strategic Allocation Fund (MSAP V)|Shariah Compliant Fund of Funds|August 17, 2017|62,757
Meezan Strategic Allocation Fund II (Meezan Capital Preservation Plan IV)|Shariah Compliant Fund of Funds - CPPI|March 05, 2018|764,837
Meezan Strategic Allocation Fund II (Meezan Capital Preservation Plan V)|Shariah Compliant Fund of Funds - CPPI|May 04, 2018|94,355
Meezan Strategic Allocation Fund II (Meezan Capital Preservation Plan VI)|Shariah Compliant Fund of Funds - CPPI|July 10, 2018|91,320
Meezan Strategic Allocation Fund II (Meezan Capital Preservation Plan VII)|Shariah Compliant Fund of Funds - CPPI|September 26, 2018|103,632
Meezan Strategic Allocation Fund III (Meezan Capital Preservation Plan IX)|Shariah Compliant Fund of Funds - CPPI|May 14, 2019|96,584
Sub Total|167,236,771||
Alfalah GHP Investment Management Limited|||
Alfalah GHP Alpha Fund|Equity|September 09, 2008|807,682
Alfalah GHP Cash Fund|Money Market|March 13, 2010|6,449,168
Alfalah GHP Income Fund|Income|April 14, 2007|1,848,631
Alfalah GHP Income Multiplier Fund|Aggressive Fixed Income|June 15, 2007|59,333
Alfalah GHP Islamic Income Fund|Shariah Compliant Income|December 03, 2009|5,294,039
Alfalah GHP Islamic Prosperity Planning Fund (Alfalah GHP Islamic Active Allocation Plan II)|Shariah Compliant Fund of Funds|November 01, 2016|390,408
